dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1758-09-01,10.349,3.701,Aberdeen,United Kingdom,57.05N,1.48W
1758-10-01,7.09,11.304,Aberdeen,United Kingdom,57.05N,1.48W
1758-11-01,7.465,9.487,Aberdeen,United Kingdom,57.05N,1.48W
1758-12-01,5.154,5.746,Aberdeen,United Kingdom,57.05N,1.48W
1759-01-01,7.309,6.518,Aberdeen,United Kingdom,57.05N,1.48W
1759-02-01,7.054,7.933,Aberdeen,United Kingdom,57.05N,1.48W
1759-03-01,5.8,3.439,Aberdeen,United Kingdom,57.05N,1.48W
1759-04-01,5.749,5.927,Aberdeen,United Kingdom,57.05N,1.48W
1759-05-01,7.351,3.56,Aberdeen,United Kingdom,57.05N,1.48W
1759-06-01,11.818,6.139,Aberdeen,United Kingdom,57.05N,1.48W
1759-07-01,14.033,4.688,Aberdeen,United Kingdom,57.05N,1.48W
1759-08-01,14.141,7.312,Aberdeen,United Kingdom,57.05N,1.48W
1759-09-01,11.684,6.24,Aberdeen,United Kingdom,57.05N,1.48W
1759-10-01,9.731,5.012,Aberdeen,United Kingdom,57.05N,1.48W
1759-11-01,5.565,6.551,Aberdeen,United Kingdom,57.05N,1.48W
1759-12-01,2.225,10.362,Aberdeen,United Kingdom,57.05N,1.48W
1760-01-01,0.818,5.293,Aberdeen,United Kingdom,57.05N,1.48W
1760-02-01,3.992,3.765,Aberdeen,United Kingdom,57.05N,1.48W
1760-03-01,3.479,9.355,Aberdeen,United Kingdom,57.05N,1.48W
1760-04-01,5.75,7.283,Aberdeen,United Kingdom,57.05N,1.48W
1760-05-01,7.901,4.704,Aberdeen,United Kingdom,57.05N,1.48W
1760-06-01,11.318,2.727,Aberdeen,United Kingdom,57.05N,1.48W
1760-07-01,12.675,4.766,Aberdeen,United Kingdom,57.05N,1.48W
1760-08-01,13.038,8.193,Aberdeen,United Kingdom,57.05N,1.48W
1760-09-01,12.67,5.95,Aberdeen,United Kingdom,57.05N,1.48W
1760-10-01,8.307,5.039,Aberdeen,United Kingdom,57.05N,1.48W
1760-11-01,7.058,3.539,Aberdeen,United Kingdom,57.05N,1.48W
1760-12-01,6.23,2.779,Aberdeen,United Kingdom,57.05N,1.48W
1761-01-01,4.867,7.633,Aberdeen,United Kingdom,57.05N,1.48W
1761-02-01,5.625,3.905,Aberdeen,United Kingdom,57.05N,1.48W
1761-03-01,7.053,1.656,Aberdeen,United Kingdom,57.05N,1.48W
1761-04-01,6.084,4.334,Aberdeen,United Kingdom,57.05N,1.48W
1761-05-01,9.372,5.31,Aberdeen,United Kingdom,57.05N,1.48W
1761-06-01,12.83,2.837,Aberdeen,United Kingdom,57.05N,1.48W
1761-07-01,13.736,5.763,Aberdeen,United Kingdom,57.05N,1.48W
1761-08-01,14.432,3.299,Aberdeen,United Kingdom,57.05N,1.48W
1761-09-01,12.561,3.921,Aberdeen,United Kingdom,57.05N,1.48W
1761-10-01,7.143,5.613,Aberdeen,United Kingdom,57.05N,1.48W
1761-11-01,7.334,2.357,Aberdeen,United Kingdom,57.05N,1.48W
1761-12-01,3.153,2.371,Aberdeen,United Kingdom,57.05N,1.48W
1762-01-01,6.808,2.907,Aberdeen,United Kingdom,57.05N,1.48W
1762-02-01,4.12,8.303,Aberdeen,United Kingdom,57.05N,1.48W
1762-03-01,2.528,5.262,Aberdeen,United Kingdom,57.05N,1.48W
1762-04-01,7.841,4.263,Aberdeen,United Kingdom,57.05N,1.48W
1762-05-01,8.277,6.957,Aberdeen,United Kingdom,57.05N,1.48W
1762-06-01,11.091,7.113,Aberdeen,United Kingdom,57.05N,1.48W
1762-07-01,12.768,3.192,Aberdeen,United Kingdom,57.05N,1.48W
1762-08-01,11.499,2.864,Aberdeen,United Kingdom,57.05N,1.48W
1762-09-01,11.178,9.093,Aberdeen,United Kingdom,57.05N,1.48W
1762-10-01,5.769,4.646,Aberdeen,United Kingdom,57.05N,1.48W
1762-11-01,6.489,2.723,Aberdeen,United Kingdom,57.05N,1.48W
1762-12-01,5.084,6.537,Aberdeen,United Kingdom,57.05N,1.48W
1763-01-01,2.063,5.818,Aberdeen,United Kingdom,57.05N,1.48W
1763-02-01,4.686,5.432,Aberdeen,United Kingdom,57.05N,1.48W
1763-03-01,3.58,7.861,Aberdeen,United Kingdom,57.05N,1.48W
1763-04-01,4.737,2.05,Aberdeen,United Kingdom,57.05N,1.48W
1763-05-01,6.708,3.567,Aberdeen,United Kingdom,57.05N,1.48W
1763-06-01,10.809,6.691,Aberdeen,United Kingdom,57.05N,1.48W
1763-07-01,13.202,2.248,Aberdeen,United Kingdom,57.05N,1.48W
1763-08-01,12.831,3.55,Aberdeen,United Kingdom,57.05N,1.48W
1763-09-01,11.299,3.195,Aberdeen,United Kingdom,57.05N,1.48W
1763-10-01,8.394,6.909,Aberdeen,United Kingdom,57.05N,1.48W
1763-11-01,7.388,4.182,Aberdeen,United Kingdom,57.05N,1.48W
1763-12-01,6.097,2.637,Aberdeen,United Kingdom,57.05N,1.48W
1764-01-01,4.817,5.881,Aberdeen,United Kingdom,57.05N,1.48W
1764-02-01,5.172,5.348,Aberdeen,United Kingdom,57.05N,1.48W
1764-03-01,4.296,4.471,Aberdeen,United Kingdom,57.05N,1.48W
1764-04-01,5.542,5.265,Aberdeen,United Kingdom,57.05N,1.48W
1764-05-01,8.879,8.433,Aberdeen,United Kingdom,57.05N,1.48W
1764-06-01,9.813,3.762,Aberdeen,United Kingdom,57.05N,1.48W
1764-07-01,13.869,6.125,Aberdeen,United Kingdom,57.05N,1.48W
1764-08-01,12.761,1.914,Aberdeen,United Kingdom,57.05N,1.48W
1764-09-01,10.247,5.705,Aberdeen,United Kingdom,57.05N,1.48W
1764-10-01,8.683,3.106,Aberdeen,United Kingdom,57.05N,1.48W
1764-11-01,5.838,3.179,Aberdeen,United Kingdom,57.05N,1.48W
1764-12-01,4.093,4.188,Aberdeen,United Kingdom,57.05N,1.48W
1765-01-01,5.041,11.457,Aberdeen,United Kingdom,57.05N,1.48W
1765-02-01,1.276,4.944,Aberdeen,United Kingdom,57.05N,1.48W
1765-03-01,4.977,3.558,Aberdeen,United Kingdom,57.05N,1.48W
1765-04-01,6.025,2.137,Aberdeen,United Kingdom,57.05N,1.48W
1765-05-01,8.206,2.603,Aberdeen,United Kingdom,57.05N,1.48W
1765-06-01,9.723,3.361,Aberdeen,United Kingdom,57.05N,1.48W
1765-07-01,12.103,4.504,Aberdeen,United Kingdom,57.05N,1.48W
1765-08-01,12.557,3.197,Aberdeen,United Kingdom,57.05N,1.48W
1765-09-01,10.716,1.854,Aberdeen,United Kingdom,57.05N,1.48W
1765-10-01,9.06,0.768,Aberdeen,United Kingdom,57.05N,1.48W
1765-11-01,5.728,5.021,Aberdeen,United Kingdom,57.05N,1.48W
1765-12-01,4.264,2.341,Aberdeen,United Kingdom,57.05N,1.48W
1766-01-01,3.605,7.742,Aberdeen,United Kingdom,57.05N,1.48W
1766-02-01,2.894,4.506,Aberdeen,United Kingdom,57.05N,1.48W
1766-03-01,4.05,3.777,Aberdeen,United Kingdom,57.05N,1.48W
1766-04-01,7.12,4.153,Aberdeen,United Kingdom,57.05N,1.48W
1766-05-01,6.382,4.239,Aberdeen,United Kingdom,57.05N,1.48W
1766-06-01,11.097,8.632,Aberdeen,United Kingdom,57.05N,1.48W
1766-07-01,13.846,4.497,Aberdeen,United Kingdom,57.05N,1.48W
1766-08-01,13.848,3.88,Aberdeen,United Kingdom,57.05N,1.48W
1766-09-01,11.251,4.658,Aberdeen,United Kingdom,57.05N,1.48W
1766-10-01,8.988,2.16,Aberdeen,United Kingdom,57.05N,1.48W
1766-11-01,8.409,5.662,Aberdeen,United Kingdom,57.05N,1.48W
1766-12-01,4.922,4.127,Aberdeen,United Kingdom,57.05N,1.48W
1767-01-01,0.71,7.716,Aberdeen,United Kingdom,57.05N,1.48W
1767-02-01,5.534,8.654,Aberdeen,United Kingdom,57.05N,1.48W
1767-03-01,4.221,9.378,Aberdeen,United Kingdom,57.05N,1.48W
1767-04-01,5.11,7.025,Aberdeen,United Kingdom,57.05N,1.48W
1767-05-01,7.099,2.559,Aberdeen,United Kingdom,57.05N,1.48W
1767-06-01,9.392,4.274,Aberdeen,United Kingdom,57.05N,1.48W
1767-07-01,11.634,4.63,Aberdeen,United Kingdom,57.05N,1.48W
1767-08-01,14.173,2.478,Aberdeen,United Kingdom,57.05N,1.48W
1767-09-01,12.613,4.784,Aberdeen,United Kingdom,57.05N,1.48W
1767-10-01,8.721,3.3,Aberdeen,United Kingdom,57.05N,1.48W
1767-11-01,8.518,9.397,Aberdeen,United Kingdom,57.05N,1.48W
1767-12-01,5.475,6.724,Aberdeen,United Kingdom,57.05N,1.48W
1768-01-01,2.411,13.55,Aberdeen,United Kingdom,57.05N,1.48W
1768-02-01,3.993,10.373,Aberdeen,United Kingdom,57.05N,1.48W
1768-03-01,3.795,7.382,Aberdeen,United Kingdom,57.05N,1.48W
1768-04-01,5.683,4.665,Aberdeen,United Kingdom,57.05N,1.48W
1768-05-01,8.922,3.593,Aberdeen,United Kingdom,57.05N,1.48W
1768-06-01,10.819,5.242,Aberdeen,United Kingdom,57.05N,1.48W
1768-07-01,12.999,5.31,Aberdeen,United Kingdom,57.05N,1.48W
1768-08-01,13.619,1.666,Aberdeen,United Kingdom,57.05N,1.48W
1768-09-01,10.339,5.246,Aberdeen,United Kingdom,57.05N,1.48W
1768-10-01,8.297,4.524,Aberdeen,United Kingdom,57.05N,1.48W
1768-11-01,6.556,5.908,Aberdeen,United Kingdom,57.05N,1.48W
1768-12-01,6.411,7.841,Aberdeen,United Kingdom,57.05N,1.48W
1769-01-01,4.121,7.161,Aberdeen,United Kingdom,57.05N,1.48W
1769-02-01,3.31,3.424,Aberdeen,United Kingdom,57.05N,1.48W
1769-03-01,4.872,5.776,Aberdeen,United Kingdom,57.05N,1.48W
1769-04-01,6.334,6.711,Aberdeen,United Kingdom,57.05N,1.48W
1769-05-01,8.263,9.844,Aberdeen,United Kingdom,57.05N,1.48W
1769-06-01,10.298,5.53,Aberdeen,United Kingdom,57.05N,1.48W
1769-07-01,13.436,5.509,Aberdeen,United Kingdom,57.05N,1.48W
1769-08-01,12.542,5.999,Aberdeen,United Kingdom,57.05N,1.48W
1769-09-01,11.837,1.289,Aberdeen,United Kingdom,57.05N,1.48W
1769-10-01,7.624,3.641,Aberdeen,United Kingdom,57.05N,1.48W
1769-11-01,6.316,1.384,Aberdeen,United Kingdom,57.05N,1.48W
1769-12-01,6.316,4.915,Aberdeen,United Kingdom,57.05N,1.48W
1770-01-01,5.134,8.317,Aberdeen,United Kingdom,57.05N,1.48W
1770-02-01,5.733,4.604,Aberdeen,United Kingdom,57.05N,1.48W
1770-03-01,0.843,5.452,Aberdeen,United Kingdom,57.05N,1.48W
1770-04-01,3.991,12.505,Aberdeen,United Kingdom,57.05N,1.48W
1770-05-01,7.675,2.216,Aberdeen,United Kingdom,57.05N,1.48W
1770-06-01,10.197,4.933,Aberdeen,United Kingdom,57.05N,1.48W
1770-07-01,13.026,8.901,Aberdeen,United Kingdom,57.05N,1.48W
1770-08-01,13.769,5.052,Aberdeen,United Kingdom,57.05N,1.48W
1770-09-01,12.839,3.823,Aberdeen,United Kingdom,57.05N,1.48W
1770-10-01,8.401,6.114,Aberdeen,United Kingdom,57.05N,1.48W
1770-11-01,5.275,7.581,Aberdeen,United Kingdom,57.05N,1.48W
1770-12-01,4.81,11.637,Aberdeen,United Kingdom,57.05N,1.48W
1771-01-01,2.19,8.701,Aberdeen,United Kingdom,57.05N,1.48W
1771-02-01,3.268,5.561,Aberdeen,United Kingdom,57.05N,1.48W
1771-03-01,1.757,8.927,Aberdeen,United Kingdom,57.05N,1.48W
1771-04-01,3.458,7.999,Aberdeen,United Kingdom,57.05N,1.48W
1771-05-01,8.733,12.911,Aberdeen,United Kingdom,57.05N,1.48W
1771-06-01,11.395,3.511,Aberdeen,United Kingdom,57.05N,1.48W
1771-07-01,12.385,1.778,Aberdeen,United Kingdom,57.05N,1.48W
1771-08-01,12.293,3.172,Aberdeen,United Kingdom,57.05N,1.48W
1771-09-01,10.685,2.336,Aberdeen,United Kingdom,57.05N,1.48W
1771-10-01,9.082,1.674,Aberdeen,United Kingdom,57.05N,1.48W
1771-11-01,7.433,5.147,Aberdeen,United Kingdom,57.05N,1.48W
1771-12-01,7.531,4.803,Aberdeen,United Kingdom,57.05N,1.48W
1772-01-01,2.245,9.906,Aberdeen,United Kingdom,57.05N,1.48W
1772-02-01,1.133,11.307,Aberdeen,United Kingdom,57.05N,1.48W
1772-03-01,2.614,4.617,Aberdeen,United Kingdom,57.05N,1.48W
1772-04-01,4.544,4.961,Aberdeen,United Kingdom,57.05N,1.48W
1772-05-01,6.885,1.814,Aberdeen,United Kingdom,57.05N,1.48W
1772-06-01,11.321,5.827,Aberdeen,United Kingdom,57.05N,1.48W
1772-07-01,12.874,3.69,Aberdeen,United Kingdom,57.05N,1.48W
1772-08-01,13.193,5.149,Aberdeen,United Kingdom,57.05N,1.48W
1772-09-01,10.831,4.076,Aberdeen,United Kingdom,57.05N,1.48W
1772-10-01,10.631,3.012,Aberdeen,United Kingdom,57.05N,1.48W
1772-11-01,8.37,6.735,Aberdeen,United Kingdom,57.05N,1.48W
1772-12-01,6.519,4.29,Aberdeen,United Kingdom,57.05N,1.48W
1773-01-01,5.318,2.238,Aberdeen,United Kingdom,57.05N,1.48W
1773-02-01,3.241,3.651,Aberdeen,United Kingdom,57.05N,1.48W
1773-03-01,5.621,2.59,Aberdeen,United Kingdom,57.05N,1.48W
1773-04-01,6.418,3.892,Aberdeen,United Kingdom,57.05N,1.48W
1773-05-01,7.748,4.664,Aberdeen,United Kingdom,57.05N,1.48W
1773-06-01,10.388,1.881,Aberdeen,United Kingdom,57.05N,1.48W
1773-07-01,12.426,2.938,Aberdeen,United Kingdom,57.05N,1.48W
1773-08-01,14.054,2.077,Aberdeen,United Kingdom,57.05N,1.48W
1773-09-01,11.207,2.998,Aberdeen,United Kingdom,57.05N,1.48W
1773-10-01,9.374,2.55,Aberdeen,United Kingdom,57.05N,1.48W
1773-11-01,6.564,7.75,Aberdeen,United Kingdom,57.05N,1.48W
1773-12-01,5.158,6.419,Aberdeen,United Kingdom,57.05N,1.48W
1774-01-01,0.585,9.037,Aberdeen,United Kingdom,57.05N,1.48W
1774-02-01,3.884,8.398,Aberdeen,United Kingdom,57.05N,1.48W
1774-03-01,4.07,3.113,Aberdeen,United Kingdom,57.05N,1.48W
